,Species,Domain,Average Range,Genome_size,Exon_to_genome_ratio
171,Acinetobacter_piscicola,bacteria,453711.0,3814033.0,8.40630489452537
172,Acinetobacter_pittii,bacteria,737646.6842105263,4031816.0,5.465782042137275
173,Acinetobacter_populi,bacteria,841094.0,3686702.0,4.383222327112071
174,Acinetobacter_pragensis,bacteria,232833.0,3706388.0,15.91865414266878
175,Acinetobacter_proteolyticus,bacteria,836025.0,4339079.0,5.19013067791035
176,Acinetobacter_pseudolwoffii,bacteria,648688.0,3105311.0,4.787064043114718
177,Acinetobacter_puyangensis,bacteria,630459.0,3781219.0,5.997565265941163
178,Acinetobacter_qingfengensis,bacteria,226083.0,3140771.0,13.89211484277898
179,Acinetobacter_radioresistens,bacteria,776661.25,3274744.25,4.216438312069773
180,Acinetobacter_rongchengensis,bacteria,238956.0,4102130.0,17.16688427995112
181,Acinetobacter_rudis,bacteria,867937.0,4066694.0,4.685471410943421
182,Acinetobacter_schindleri,bacteria,1045031.25,3330542.5,3.1870267037468976
183,Acinetobacter_seifertii,bacteria,464175.0,4033531.5,8.689678461787041
184,Acinetobacter_sichuanensis,bacteria,262572.0,4666610.0,17.772687110583004
185,Acinetobacter_silvestris,bacteria,545906.0,3129605.0,5.732864266009166
186,Acinetobacter_soli,bacteria,1137318.0,3562754.3333333335,3.132592936481559
187,Acinetobacter_sp,bacteria,663732.5921052631,3705339.8684210526,5.582579358756896
188,Acinetobacter_stercoris,bacteria,51980.0,4164616.0,80.11958445555983
189,Acinetobacter_tandoii,bacteria,447697.0,3746735.5,8.368909105935488
190,Acinetobacter_terrae,bacteria,347608.0,3391468.3333333335,9.756588839535723
191,Acinetobacter_terrestris,bacteria,220468.0,3353219.0,15.209549685215087
192,Acinetobacter_tianfuensis,bacteria,211234.0,3464918.0,16.403221072365245
193,Acinetobacter_tjernbergiae,bacteria,175227.0,3652434.0,20.844013765001968
194,Acinetobacter_towneri,bacteria,464391.0,2951900.5,6.3564980802814866
195,Acinetobacter_ursingii,bacteria,856891.4,3623239.2,4.228352857783379
196,Acinetobacter_variabilis,bacteria,628224.5,3422615.0,5.4480762848312985
197,Acinetobacter_venetianus,bacteria,503501.25,3555567.75,7.0616860434805275
198,Acinetobacter_wuhouensis,bacteria,1243359.0,4177154.3333333335,3.3595722018607126
199,Actibacterium_atlanticum,bacteria,531713.0,3176383.0,5.973867481141142
200,Actibacterium_lipolyticum,bacteria,1287193.0,3877740.0,3.0125552267608664
201,Actibacterium_mucosum,bacteria,606957.0,3715337.0,6.121252411620593
202,Actibacterium_sp,bacteria,655648.0,3732008.5,5.6920916406364395
203,Actinidia_chinensis,plants,17881565.0,553842477.0,30.972819045760257
204,Actinoalloteichus_hoggarensis,bacteria,2711989.0,6606717.0,2.4361149694928703
205,Actinoalloteichus_hymeniacidonis,bacteria,2756205.0,6306386.0,2.2880685580354148
206,Actinoalloteichus_sp,bacteria,2840317.0,6822750.0,2.402108637873871
207,Actinobacillus_delphinicola,bacteria,826382.0,1837244.0,2.2232381634643543
208,Actinobacillus_equuli,bacteria,1090368.0,2431533.0,2.2300113356224687
209,Actinobacillus_indolicus,bacteria,1013413.0,2251645.0,2.221843414284206
210,Actinobacillus_lignieresii,bacteria,1046358.0,2345138.0,2.24123865827948
211,Actinobacillus_minor,bacteria,145817.0,2425264.0,16.63224452567259
212,Actinobacillus_pleuropneumoniae,bacteria,889687.8333333334,2308570.3333333335,2.5948093778960297
213,Actinobacillus_porcitonsillarum,bacteria,1021347.0,2263191.0,2.215888429691378
214,Actinobacillus_seminis,bacteria,705584.0,2416228.0,3.4244370620648996
215,Actinobacillus_succinogenes,bacteria,1043933.0,2319663.0,2.2220420276013884
216,Actinobacillus_suis,bacteria,1114197.0,2484940.0,2.2302519213388656
217,Actinobacillus_ureae,bacteria,860895.0,2354471.0,2.7349107614749766
218,Actinobacteria_bacterium,bacteria,566968.8,6442316.6,11.36273565670633
219,Actinobacterium_acamd,bacteria,233526.0,1242023.0,5.318564099928916
220,Actinobaculum_massiliense,bacteria,829274.0,2032016.0,2.4503553710836226
221,Actinobaculum_sp,bacteria,281513.0,2630323.0,9.343522324013456
222,Actinobaculum_suis,bacteria,211012.33333333334,2294872.6666666665,10.8755380807125
223,Actinocorallia_herbida,bacteria,4377814.0,9800715.0,2.2387234816280452
224,Actinocrispum_wychmicini,bacteria,1383286.0,12011259.0,8.6831349410028
225,Actinokineospora_alba,bacteria,776780.0,7268999.0,9.357860655526661
226,Actinokineospora_auranticolor,bacteria,658742.0,8431890.0,12.799988462857993
227,Actinokineospora_bangkokensis,bacteria,820745.0,7453713.0,9.081642897611317
228,Actinokineospora_cianjurensis,bacteria,1919209.0,7615874.0,3.968235872174422
229,Actinokineospora_iranica,bacteria,767344.0,6578763.0,8.57342078650514
230,Actinokineospora_spheciospongiae,bacteria,512431.0,7538039.5,14.710350271548755
