Round,Species,GenomeSize,ExonStartRange,ExonEndRange,NoncodingStartRange,NoncodingEndRange,ActiveTE,TEMobilized,TEStatic,TEInExons,TEInNoncoding,TEMobilizeProb
929,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,4645000,0,4125,9285875,0.5
438,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,2190000,0,1933,4378067,0.5
916,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,4580000,0,4070,9155930,0.5
658,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,3290000,0,2907,6577093,0.5
373,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1865000,0,1642,3728358,0.5
257,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1285000,0,1134,2568866,0.5
810,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,4050000,0,3565,8096435,0.5
30,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,150000,0,160,299840,0.5
652,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,3260000,0,2883,6517117,0.5
646,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,3230000,0,2861,6457139,0.5
35,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,175000,0,184,349816,0.5
993,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,4965000,0,4414,9925586,0.5
314,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1570000,0,1372,3138628,0.5
198,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,990000,0,874,1979126,0.5
576,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,2880000,0,2523,5757477,0.5
693,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,3465000,0,3054,6926946,0.5
19,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,95000,0,105,189895,0.5
154,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,770000,0,697,1539303,0.5
953,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,4765000,0,4235,9525765,0.5
348,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1740000,0,1524,3478476,0.5
566,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,2830000,0,2471,5657529,0.5
549,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,2745000,0,2395,5487605,0.5
828,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,4140000,0,3676,8276324,0.5
869,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,4345000,0,3854,8686146,0.5
684,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,3420000,0,3018,6836982,0.5
856,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,4280000,0,3785,8556215,0.5
459,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,2295000,0,2031,4587969,0.5
70,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,350000,0,336,699664,0.5
151,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,755000,0,682,1509318,0.5
239,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1195000,0,1055,2388945,0.5
713,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,3565000,0,3151,7126849,0.5
799,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,3995000,0,3518,7986482,0.5
224,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1120000,0,996,2239004,0.5
165,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,825000,0,736,1649264,0.5
718,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,3590000,0,3173,7176827,0.5
831,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,4155000,0,3688,8306312,0.5
522,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,2610000,0,2312,5217688,0.5
667,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,3335000,0,2961,6667039,0.5
612,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,3060000,0,2699,6117301,0.5
596,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,2980000,0,2625,5957375,0.5
700,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,3500000,0,3089,6996911,0.5
340,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1700000,0,1486,3398514,0.5
805,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,4025000,0,3544,8046456,0.5
132,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,660000,0,595,1319405,0.5
496,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,2480000,0,2191,4957809,0.5
308,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1540000,0,1355,3078645,0.5
247,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1235000,0,1089,2468911,0.5
825,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,4125000,0,3659,8246341,0.5
967,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,4835000,0,4307,9665693,0.5
341,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1705000,0,1493,3408507,0.5
964,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,4820000,0,4300,9635700,0.5
144,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,720000,0,645,1439355,0.5
157,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,785000,0,706,1569294,0.5
358,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1790000,0,1579,3578421,0.5
291,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1455000,0,1279,2908721,0.5
692,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,3460000,0,3049,6916951,0.5
809,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,4045000,0,3561,8086439,0.5
893,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,4465000,0,3961,8926039,0.5
387,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1935000,0,1712,3868288,0.5
475,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,2375000,0,2109,4747891,0.5
322,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1610000,0,1415,3218585,0.5
643,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,3215000,0,2851,6427149,0.5
678,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,3390000,0,3000,6777000,0.5
238,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1190000,0,1049,2378951,0.5
