id,round,species,genome_size,exon_start_range,exon_end_range,noncoding_start_range,non_coding_end_range,active_te,te_mobilized,te_static,te_in_exons,te_in_noncoding,te_mobilize_prob
96,96,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,480000,0,40443,439557,0.5
97,97,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,485000,0,40862,444138,0.5
98,98,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,490000,0,41289,448711,0.5
99,99,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,495000,0,41710,453290,0.5
100,100,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,500000,0,42146,457854,0.5
101,101,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,505000,0,42584,462416,0.5
102,102,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,510000,0,43021,466979,0.5
103,103,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,515000,0,43444,471556,0.5
104,104,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,520000,0,43855,476145,0.5
105,105,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,525000,0,44253,480747,0.5
106,106,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,530000,0,44670,485330,0.5
107,107,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,535000,0,45140,489860,0.5
108,108,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,540000,0,45545,494455,0.5
109,109,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,545000,0,45934,499066,0.5
110,110,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,550000,0,46386,503614,0.5
111,111,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,555000,0,46815,508185,0.5
112,112,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,560000,0,47217,512783,0.5
113,113,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,565000,0,47659,517341,0.5
114,114,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,570000,0,48105,521895,0.5
115,115,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,575000,0,48518,526482,0.5
116,116,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,580000,0,48969,531031,0.5
117,117,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,585000,0,49387,535613,0.5
118,118,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,590000,0,49813,540187,0.5
119,119,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,595000,0,50243,544757,0.5
120,120,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,600000,0,50660,549340,0.5
121,121,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,605000,0,51089,553911,0.5
122,122,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,610000,0,51510,558490,0.5
123,123,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,615000,0,51946,563054,0.5
124,124,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,620000,0,52393,567607,0.5
125,125,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,625000,0,52816,572184,0.5
126,126,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,630000,0,53205,576795,0.5
127,127,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,635000,0,53619,581381,0.5
128,128,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,640000,0,54055,585945,0.5
129,129,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,645000,0,54503,590497,0.5
130,130,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,650000,0,54948,595052,0.5
131,131,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,655000,0,55372,599628,0.5
132,132,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,660000,0,55802,604198,0.5
133,133,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,665000,0,56218,608782,0.5
134,134,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,670000,0,56619,613381,0.5
135,135,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,675000,0,57034,617966,0.5
136,136,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,680000,0,57433,622567,0.5
137,137,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,685000,0,57847,627153,0.5
138,138,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,690000,0,58265,631735,0.5
139,139,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,695000,0,58677,636323,0.5
140,140,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,700000,0,59112,640888,0.5
141,141,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,705000,0,59545,645455,0.5
142,142,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,710000,0,59951,650049,0.5
143,143,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,715000,0,60343,654657,0.5
144,144,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,720000,0,60755,659245,0.5
145,145,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,725000,0,61162,663838,0.5
146,146,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,730000,0,61625,668375,0.5
147,147,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,735000,0,62050,672950,0.5
148,148,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,740000,0,62458,677542,0.5
149,149,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,745000,0,62874,682126,0.5
150,150,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,750000,0,63296,686704,0.5
151,151,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,755000,0,63707,691293,0.5
152,152,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,760000,0,64115,695885,0.5
153,153,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,765000,0,64541,700459,0.5
154,154,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,770000,0,64953,705047,0.5
155,155,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,775000,0,65367,709633,0.5
156,156,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,780000,0,65766,714234,0.5
157,157,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,785000,0,66210,718790,0.5
158,158,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,790000,0,66634,723366,0.5
159,159,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,795000,0,67066,727934,0.5
160,160,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,800000,0,67484,732516,0.5
161,161,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,805000,0,67909,737091,0.5
162,162,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,810000,0,68321,741679,0.5
163,163,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,815000,0,68755,746245,0.5
164,164,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,820000,0,69205,750795,0.5
165,165,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,825000,0,69619,755381,0.5
166,166,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,830000,0,70022,759978,0.5
167,167,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,835000,0,70434,764566,0.5
168,168,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,840000,0,70870,769130,0.5
169,169,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,845000,0,71292,773708,0.5
170,170,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,850000,0,71702,778298,0.5
171,171,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,855000,0,72139,782861,0.5
172,172,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,860000,0,72579,787421,0.5
173,173,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,865000,0,73014,791986,0.5
174,174,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,870000,0,73444,796556,0.5
175,175,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,875000,0,73889,801111,0.5
176,176,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,880000,0,74338,805662,0.5
177,177,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,885000,0,74755,810245,0.5
