id,round,species,genome_size,exon_start_range,exon_end_range,noncoding_start_range,non_coding_end_range,active_te,te_mobilized,te_static,te_in_exons,te_in_noncoding,te_mobilize_prob
91,91,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,455000,0,66279,388721,0.5
92,92,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,460000,0,66992,393008,0.5
93,93,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,465000,0,67687,397313,0.5
94,94,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,470000,0,68360,401640,0.5
95,95,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,475000,0,69066,405934,0.5
96,96,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,480000,0,69835,410165,0.5
97,97,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,485000,0,70520,414480,0.5
98,98,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,490000,0,71241,418759,0.5
99,99,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,495000,0,71945,423055,0.5
100,100,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,500000,0,72699,427301,0.5
101,101,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,505000,0,73432,431568,0.5
102,102,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,510000,0,74161,435839,0.5
103,103,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,515000,0,74838,440162,0.5
104,104,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,520000,0,75539,444461,0.5
105,105,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,525000,0,76296,448704,0.5
106,106,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,530000,0,77033,452967,0.5
107,107,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,535000,0,77775,457225,0.5
108,108,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,540000,0,78527,461473,0.5
109,109,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,545000,0,79249,465751,0.5
110,110,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,550000,0,79989,470011,0.5
111,111,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,555000,0,80698,474302,0.5
112,112,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,560000,0,81437,478563,0.5
113,113,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,565000,0,82195,482805,0.5
114,114,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,570000,0,82924,487076,0.5
115,115,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,575000,0,83669,491331,0.5
116,116,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,580000,0,84429,495571,0.5
117,117,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,585000,0,85191,499809,0.5
118,118,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,590000,0,85926,504074,0.5
119,119,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,595000,0,86666,508334,0.5
120,120,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,600000,0,87383,512617,0.5
121,121,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,605000,0,88120,516880,0.5
122,122,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,610000,0,88799,521201,0.5
123,123,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,615000,0,89575,525425,0.5
124,124,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,620000,0,90338,529662,0.5
125,125,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,625000,0,91033,533967,0.5
126,126,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,630000,0,91776,538224,0.5
127,127,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,635000,0,92494,542506,0.5
128,128,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,640000,0,93203,546797,0.5
129,129,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,645000,0,93898,551102,0.5
130,130,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,650000,0,94665,555335,0.5
131,131,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,655000,0,95398,559602,0.5
132,132,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,660000,0,96131,563869,0.5
133,133,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,665000,0,96920,568080,0.5
134,134,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,670000,0,97643,572357,0.5
135,135,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,675000,0,98356,576644,0.5
136,136,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,680000,0,99086,580914,0.5
137,137,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,685000,0,99795,585205,0.5
138,138,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,690000,0,100542,589458,0.5
139,139,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,695000,0,101298,593702,0.5
140,140,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,700000,0,102029,597971,0.5
141,141,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,705000,0,102739,602261,0.5
142,142,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,710000,0,103517,606483,0.5
143,143,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,715000,0,104245,610755,0.5
144,144,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,720000,0,104953,615047,0.5
145,145,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,725000,0,105699,619301,0.5
146,146,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,730000,0,106379,623621,0.5
147,147,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,735000,0,107139,627861,0.5
148,148,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,740000,0,107895,632105,0.5
149,149,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,745000,0,108598,636402,0.5
150,150,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,750000,0,109350,640650,0.5
151,151,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,755000,0,110065,644935,0.5
152,152,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,760000,0,110798,649202,0.5
153,153,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,765000,0,111553,653447,0.5
154,154,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,770000,0,112276,657724,0.5
155,155,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,775000,0,113023,661977,0.5
156,156,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,780000,0,113749,666251,0.5
157,157,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,785000,0,114459,670541,0.5
158,158,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,790000,0,115203,674797,0.5
159,159,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,795000,0,115933,679067,0.5
160,160,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,800000,0,116620,683380,0.5
161,161,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,805000,0,117312,687688,0.5
162,162,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,810000,0,118081,691919,0.5
163,163,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,815000,0,118806,696194,0.5
164,164,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,820000,0,119539,700461,0.5
165,165,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,825000,0,120336,704664,0.5
166,166,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,830000,0,121063,708937,0.5
167,167,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,835000,0,121756,713244,0.5
168,168,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,840000,0,122513,717487,0.5
169,169,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,845000,0,123282,721718,0.5
170,170,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,850000,0,124021,725979,0.5
171,171,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,855000,0,124741,730259,0.5
